Date,Renewable Energy Production in Trillion Btu in the United States
2015-01-01,580.459
2015-02-01,532.998
2015-03-01,579.274
2015-04-01,569.372
2015-05-01,578.595
2015-06-01,564.148
2015-07-01,583.94
2015-08-01,572.235
2015-09-01,539.599
2015-10-01,556.624
2015-11-01,575.262
2015-12-01,607.029
2016-01-01,599.191
2016-02-01,581.707
2016-03-01,626.117
2016-04-01,589.697
2016-05-01,609.056
2016-06-01,593.674
2016-07-01,604.311
2016-08-01,591.345
2016-09-01,562.208
2016-10-01,584.383
2016-11-01,586.197
2016-12-01,650.925
2017-01-01,627.139
2017-02-01,580.323
2017-03-01,663.921
2017-04-01,635.132
2017-05-01,661.288
2017-06-01,642.341
2017-07-01,625.553
2017-08-01,612.154
2017-09-01,583.867
2017-10-01,614.657
2017-11-01,613.796
2017-12-01,635.13
2018-01-01,652.428
2018-02-01,609.384
2018-03-01,668.591
2018-04-01,656.554
2018-05-01,680.705
2018-06-01,668.774
2018-07-01,647.94
2018-08-01,651.954
2018-09-01,600.71
2018-10-01,627.968
2018-11-01,623.2
2018-12-01,647.491
2019-01-01,644.838
2019-02-01,593.17
2019-03-01,657.018
2019-04-01,665.972
2019-05-01,689.977
2019-06-01,661.158
2019-07-01,667.002
2019-08-01,647.658
2019-09-01,613.133
2019-10-01,633.573
2019-11-01,620.685
2019-12-01,650.482
2020-01-01,648.215
2020-02-01,632.039
2020-03-01,641.447
2020-04-01,560.486
2020-05-01,618.1
2020-06-01,636.973
2020-07-01,632.799
2020-08-01,618.428
2020-09-01,583.405
2020-10-01,611.837
2020-11-01,629.861
2020-12-01,640.797
2021-01-01,637.522
2021-02-01,553.037
2021-03-01,678.149
2021-04-01,651.301
2021-05-01,689.586
2021-06-01,656.9
2021-07-01,651.325
2021-08-01,648.963
2021-09-01,620.842
2021-10-01,650.243
2021-11-01,663.731
2021-12-01,706.75
2022-01-01,707.979
2022-02-01,661.288
2022-03-01,743.597
2022-04-01,722.551
2022-05-01,753.369
2022-06-01,735.657
2022-07-01,723.656
2022-08-01,682.908
2022-09-01,642.82
2022-10-01,669.622
2022-11-01,695.918
2022-12-01,690.85
2023-01-01,699.219
2023-02-01,662.356
2023-03-01,738.376
2023-04-01,711.502
2023-05-01,743.971
2023-06-01,701.163
2023-07-01,718.784
2023-08-01,716.526
2023-09-01,675.796
2023-10-01,697
2023-11-01,685.076
2023-12-01,723.896
2024-01-01,691.87
2024-02-01,705.262
2024-03-01,777.358
2024-04-01,757.341
2024-05-01,769.087
2024-06-01,765.316
2024-07-01,752.305
2024-08-01,757.762
2024-09-01,702.635
2024-10-01,738.724
2024-11-01,734.803
2024-12-01,745.484
2025-01-01,749.463
2025-02-01,691.849
2025-03-01,810.548
2025-04-01,780.418
2025-05-01,791.141
2025-06-01,788.355
